iter	Passed	Remaining
689	40014	17977
690	40116	17939
691	40202	17893
692	40281	17844
693	40367	17799
694	40419	17737
695	40491	17685
696	40547	17626
697	40624	17576
698	40683	17519
699	40739	17459
700	40798	17402
701	40881	17354
702	40937	17295
703	40997	17237
704	41055	17179
705	41138	17131
706	41194	17072
707	41248	17012
708	41301	16951
709	41376	16900
710	41441	16844
711	41501	16787
712	41559	16728
713	41621	16671
714	41680	16613
715	41736	16554
716	41800	16498
717	41880	16448
718	41933	16388
719	42002	16334
720	42070	16279
721	42153	16230
722	42212	16172
723	42274	16115
724	42328	16055
725	42409	16005
726	42483	15953
727	42543	15895
728	42597	15835
729	42678	15785
730	42742	15728
731	42790	15666
732	42845	15606
733	42906	15549
734	42966	15491
735	43015	15429
736	43070	15369
737	43151	15319
738	43377	15320
739	43491	15280
740	43559	15225
741	43733	15206
742	43851	15168
743	44005	15141
744	44073	15085
745	44144	15030
746	44232	14981
747	44303	14925
748	44369	14868
749	44433	14811
750	44527	14763
751	44616	14713
752	44678	14655
753	44779	14609
754	44850	14553
755	44924	14499
756	44988	14441
757	45065	14387
758	45127	14328
759	45195	14272
760	45275	14219
761	45331	14158
762	45387	14098
763	45469	14045
764	45526	13985
765	45582	13924
766	45632	13862
767	45698	13804
768	45760	13745
769	45814	13684
770	45877	13626
771	46012	13589
772	46086	13533
773	46141	13472
774	46189	13409
775	46246	13349
776	46288	13284
777	46331	13220
778	46379	13157
779	46444	13099
780	46492	13036
781	46542	12974
782	46589	12911
783	46631	12847
784	46699	12790
785	46748	12727
786	46796	12665
787	46855	12605
788	46924	12548
789	47016	12498
790	47074	12438
791	47146	12381
792	47218	12325
793	47305	12273
794	47376	12216
795	47444	12159
796	47510	12101
797	47578	12043
798	47671	11992
799	47734	11933
800	47792	11873
801	47845	11812
802	47937	11760
803	48000	11701
804	48057	11641
805	48109	11579
806	48190	11525
807	48258	11467
808	48314	11406
809	48374	11346
810	48453	11291
811	48510	11231
812	48569	11171
813	48630	11112
814	48712	11057
815	48781	10999
816	48837	10939
817	48900	10879
818	48986	10826
819	49057	10768
820	49117	10708
821	49181	10650
822	49254	10593
823	49313	10532
824	49375	10473
825	49427	10412
826	49505	10356
827	49566	10296
828	49637	10238
829	49721	10183
830	49782	10124
831	49826	10061
832	49873	9998
833	49912	9934
834	49973	9875
835	50027	9814
836	50075	9751
837	50122	9689
838	50169	9627
839	50231	9567
840	50283	9506
841	50353	9448
842	50397	9386
843	50440	9323
844	50499	9263
845	50545	9201
846	50595	9139
847	50641	9077
848	50703	9018
849	50747	8955
850	50795	8893
851	50837	8830
852	50897	8771
853	50942	8709
854	50995	8648
855	51046	8587
856	51098	8526
857	51168	8468
858	51216	8406
859	51265	8345
860	51310	8283
861	51360	8222
862	51428	8164
863	51476	8102
864	51523	8041
865	51565	7978
866	51613	7917
867	51664	7856
868	51718	7796
869	51764	7734
870	51814	7674
871	51855	7611
872	51906	7551
873	51954	7490
874	51995	7427
875	52036	7365
876	52080	7304
877	52124	7242
878	52184	7183
879	52227	7121
880	52275	7061
881	52320	6999
882	52390	6941
883	52434	6880
884	52477	6819
885	52518	6757
886	52566	6696
887	52609	6635
888	52670	6576
889	52715	6515
890	52762	6454
891	52807	6393
892	52865	6334
893	52914	6273
894	52957	6212
895	53003	6152
896	53046	6091
897	53095	6030
898	53152	5971
899	53196	5910
900	53237	5849
901	53284	5789
902	53339	5729
903	53385	5669
904	53426	5608
905	53472	5547
906	53520	5487
907	53560	5426
908	53615	5367
909	53656	5306
910	53703	5246
911	53747	5186
912	53791	5125
913	53860	5067
914	53908	5007
915	53958	4948
916	54008	4888
917	54067	4829
918	54110	4769
919	54153	4709
920	54193	4648
921	54246	4589
922	54302	4530
923	54346	4470
924	54390	4410
925	54434	4350
926	54492	4291
927	54547	4232
928	54594	4172
929	54638	4112
930	54682	4052
931	54745	3994
932	54791	3934
933	54834	3874
934	54877	3814
935	54918	3755
936	54972	3696
937	55028	3637
938	55070	3577
939	55113	3517
940	55152	3458
941	55211	3399
942	55265	3340
943	55310	3281
944	55355	3221
945	55399	3162
946	55464	3104
947	55514	3045
948	55562	2985
949	55608	2926
950	55654	2867
951	55716	2809
952	55765	2750
953	55813	2691
954	55858	2632
955	55906	2573
956	55957	2514
957	56008	2455
958	56054	2396
959	56094	2337
960	56134	2278
961	56182	2219
962	56243	2160
963	56287	2102
964	56331	2043
965	56377	1984
966	56440	1926
967	56489	1867
968	56535	1808
969	56580	1749
970	56621	1691
971	56678	1632
972	56732	1574
973	56776	1515
974	56824	1457
975	56869	1398
976	56927	1340
977	56977	1281
978	57019	1223
979	57061	1164
980	57102	1105
981	57147	1047
982	57209	989
983	57253	930
984	57292	872
985	57335	814
986	57394	755
987	57444	697
988	57489	639
989	57534	581
990	57580	522
991	57639	464
992	57688	406
993	57735	348
994	57782	290
995	57823	232
996	57880	174
997	57929	116
998	57978	58
999	58031	0
